s,n
002862,23.84
002863,7.3
002864,27.13
002865,19.6
002866,16.44
002867,27.21
002868,13.96
002869,38.91
002870,23.57
002871,17.8
002872,5.49
002873,18.39
002875,10.09
002876,45.8
002877,7.99
002878,24.03
002879,15.76
002880,54.23
002881,21.98
002882,9.54
002883,15.15
002884,25.04
002885,15.69
002886,26.1
002887,12.44
002888,18.83
002889,26.45
002890,25.49
002891,54.28
002892,22.42
002893,9.53
002895,12.45
002896,32.5
002897,28.07
002898,12.19
002899,14.7
002900,10.17
002901,73.44
002902,15.5
002903,14.81
002905,10.52
002906,29.19
002907,16.07
002908,13.9
002909,11.42
002910,11.07
002911,17.17
002912,62.42
002913,62.3
002915,19.01
002916,112.29
002917,10.6
002918,28.79
002919,38.19
002920,73.48
002921,22.46
002922,16.29
002923,18.24
002925,65.26
002926,12.79
002927,13.71
002928,12.83
002929,27.48
002930,22.35
002931,21.34
002932,64.39
002933,35.2
002935,23.6
002936,4.18
002937,14.18
002938,55.4
002939,13.67
002940,46.49
002941,13.23
002942,33.87
002943,20.38
002945,16.5
002946,18.73
002947,49.7
002948,6.7
002949,22.6
002950,22.08
002951,14.97
002952,18.1
002953,21.59
002955,26
002956,35.32
002957,23.1
002958,5.14
002959,109.04
002960,40.57
002961,29.42
002962,20.41
002963,21.44
002965,35.17
002966,8.06
002967,27.89
002968,49.9
002969,6.43
002970,58.06
002971,22.55
002972,21.03
002973,24.46
002975,113.18
002976,31.04
002977,131.24
002978,53.69
002979,47.7
002980,51.61
002981,32.74
002982,81.3
002983,34.67
002984,24.72
002985,156.19
002986,42.03
002987,53.85
002988,17.43
002989,42.5
002990,80.9
002991,104.15
002992,31.29
002993,77.46
002995,60.1
002996,18.43
002997,19.32
002998,10.48
002999,12.64
003000,19.22
003001,37.29
003002,17.25
003003,17.39
003004,51.68
003005,57.17
003006,21.64
003007,36.86
003008,40.55
003009,64.25
003010,39.52
003011,75.46
003012,15.69
003013,22.37
003015,18.29
003016,10.78
003017,56.9
003018,15.24
003019,36.68
003021,108.17
003816,2.82
300001,25.97
300002,6.15
300003,29.67
300004,6.54
300005,7.1
300006,8.22
300007,17.16
300008,7.03
300009,16.1
300010,12.34
300011,7.06
300012,25.07
300013,7.26
300014,62.24
300015,67.01
300016,11.68
300017,7.8
300018,7.37
300019,20.78
300020,9.24
300021,5.41
300022,5.34
300023,11.46
300024,13.74
300025,5.55
300026,5.15
300027,4.49
300029,5.82
300030,12.99
300031,20.26
300032,6.04
300033,143.74
300034,27.35
300035,11.67
300036,20.31
300037,85.72
300038,6.23
300039,5.26
300040,8.12
300041,15.08
300042,16.7
300043,3.81
300044,7.15
300045,11.6
300046,28.29
300047,8.64
300048,5.23
300049,9.71
300050,6.54
300051,6.12
300052,10.77
300053,10.85
300054,16.7
